"dataset","variant","strategy","metric","cell_status","cell_status_reason","predecessor_name","n_class1_sites","gmm_G","gmm_modelName","n_bins","n_frames","k_selected","silhouette_mean","metric_status","convergence_first_snp","convergence_first_mut","convergence_first_class1","walltime_s"
"GISAID_US","Kappa","cumulative_1m","entropy","ok",NA,"Alpha",45,7,"V",20,16,5,0.442223128533907,"ok",3,3,3,11720.5084102154
"GISAID_US","Kappa","cumulative_1m","hellinger_T1","ok",NA,"Alpha",45,7,"V",20,16,4,0.567375149447099,"ok",3,3,3,11720.5084102154
"GISAID_US","Kappa","cumulative_1m","hellinger_Tpred","ok",NA,"Alpha",45,7,"V",20,16,3,0.626529852832154,"ok",3,3,3,11720.5084102154
"GISAID_US","Kappa","disjoint_2m","entropy","ok",NA,"Alpha",45,7,"V",10,6,5,0.377877230403812,"ok",3,3,NA,3993.44051551819
"GISAID_US","Kappa","disjoint_2m","hellinger_T1","ok",NA,"Alpha",45,7,"V",10,6,2,0.708828429203477,"ok",3,3,7,3993.44051551819
"GISAID_US","Kappa","disjoint_2m","hellinger_Tpred","ok",NA,"Alpha",45,7,"V",10,6,2,0.696929467746608,"ok",3,3,5,3993.44051551819
"GISAID_US","Kappa","sliding_2m","entropy","ok",NA,"Alpha",45,7,"V",19,15,5,0.369063445310889,"ok",3,3,3,21497.2779026031
"GISAID_US","Kappa","sliding_2m","hellinger_T1","ok",NA,"Alpha",45,7,"V",19,15,2,0.661737807396371,"ok",3,3,3,21497.2779026031
"GISAID_US","Kappa","sliding_2m","hellinger_Tpred","ok",NA,"Alpha",45,7,"V",19,15,2,0.698916319257015,"ok",3,3,3,21497.2779026031
"GISAID_US","Lambda","cumulative_1m","entropy","ok",NA,"Alpha",45,7,"V",20,16,5,0.442223128533907,"ok",NA,3,3,11772.1150672436
"GISAID_US","Lambda","cumulative_1m","hellinger_T1","ok",NA,"Alpha",45,7,"V",20,16,4,0.567375149447099,"ok",NA,3,3,11772.1150672436
